sector,code,name,threshold
共封装光学,688090,瑞松科技,
共封装光学,300287,飞利信,
共封装光学,688609,九联科技,
共封装光学,300303,聚飞光电,
共封装光学,688025,杰普特,
共封装光学,688313,仕佳光子,
共封装光学,300548,长芯博创,
共封装光学,300570,太辰光,
共封装光学,002579,中京电子,
共封装光学,300308,中际旭创,
创新药,600276,恒瑞医药,
创新药,000963,华东医药,
创新药,002317,众生药业,
创新药,301230,泓博医药,
创新药,300149,睿智医药,
创新药,002900,哈三联,
创新药,300534,陇神戎发,
创新药,600664,哈药股份,
创新药,600721,百花医药,
创新药,603259,药明康德,
存储芯片,000670,盈方微,
存储芯片,301057,汇隆新材,
存储芯片,001309,德明利,
存储芯片,300042,朗科科技,
存储芯片,688525,佰维存储,
存储芯片,301308,江波龙,
存储芯片,000021,深科技,
存储芯片,600667,太极实业,
存储芯片,000859,国风新材,
存储芯片,603986,兆易创新,
稀土永磁,301141,中科磁业,
稀土永磁,688020,方邦股份,
稀土永磁,600444,国机通用,
稀土永磁,300066,三川智慧,
稀土永磁,000758,中色股份,
稀土永磁,600010,包钢股份,
稀土永磁,600392,盛和资源,
稀土永磁,002645,华宏科技,
稀土永磁,000831,中国稀土,
